(0.0, 0.0), (10.0, 0.0), (10.0, 10.0), (0.0, 10.0)
(0.0, 0.0), (4.0, 0.0), (4.0, 10.0), (0.0, 10.0)
(4.01, 0.0), (8.01, 0.0), (8.01, 10.0), (4.01, 10.0)
(9.52, 8.5), (9.52, 10.0), (8.02, 10.0), (8.02, 8.5)
(10.0, 0.0), (10.0, 1.5), (8.5, 1.5), (8.5, 0.0)
(8.5, 1.51), (10.0, 1.51), (10.0, 3.01), (8.5, 3.01)
(10.0, 3.0199999999999996), (10.0, 4.52), (8.5, 4.52), (8.5, 3.0199999999999996)
(10.0, 4.529999999999999), (10.0, 6.029999999999999), (8.5, 6.029999999999999), (8.5, 4.529999999999999)
(10.0, 6.039999999999999), (10.0, 7.539999999999999), (8.5, 7.539999999999999), (8.5, 6.039999999999999)
#
9: (0.0, 0.0), (3.0, 0.0), (3.0, 3.0), (0.0, 3.0)
4: (0.0, 0.0), (2.0, 0.0), (2.0, 2.0), (0.0, 2.0)
4: (0.0, 0.0), (2.0, 0.0), (2.0, 2.0), (0.0, 2.0)
23: (0.0, 0.0), (3.0, 0.0), (3.0, 5.0), (-3.0, 5.0)
12: (0.0, 0.0), (3.5, 0.0), (3.5000000000000004, 3.4999999999999996), (0.0, 3.5)
12: (0.0, 0.0), (3.5, 0.0), (3.5000000000000004, 3.4999999999999996), (0.0, 3.5)
8: (0.0, 0.0), (0.0, 5.0), (-3.0, 5.0)
6: (0.0, 0.0), (2.4788689868556624, 0.0), (2.4788689868556624, 2.4788689868556624), (0.0, 2.4788689868556624)
12: (0.0, 0.0), (3.5, 0.0), (3.5000000000000004, 3.4999999999999996), (0.0, 3.5)
9: (0.0, 0.0), (3.0, 0.0), (3.0, 3.0), (0.0, 3.0)
6: (0.0, 0.0), (2.4788689868556624, 0.0), (2.4788689868556624, 2.4788689868556624), (0.0, 2.4788689868556624)
5: (0.0, 0.0), (2.3051586491408833, 0.0), (2.3051586491408838, 2.3051586491408833), (0.0, 2.3051586491408833)
9: (0.0, 0.0), (3.0, 0.0), (3.0, 3.0), (0.0, 3.0)
6: (0.0, 0.0), (2.4788689868556624, 0.0), (2.4788689868556624, 2.4788689868556624), (0.0, 2.4788689868556624)
6: (0.0, 0.0), (2.4788689868556624, 0.0), (2.4788689868556624, 2.4788689868556624), (0.0, 2.4788689868556624)
21: (0.0, 0.0), (4.610317298281767, 0.0), (4.6103172982817675, 4.610317298281767), (0.0, 4.610317298281767)
4: (0.0, 0.0), (2.0, 0.0), (2.0, 2.0), (0.0, 2.0)
9: (0.0, 0.0), (3.0, 0.0), (3.0, 3.0), (0.0, 3.0)
4: (0.0, 0.0), (2.0, 0.0), (2.0, 2.0), (0.0, 2.0)
4: (0.0, 0.0), (2.0, 0.0), (2.0, 2.0), (0.0, 2.0)
9: (0.0, 0.0), (3.0, 0.0), (3.0, 3.0), (0.0, 3.0)
